缺陷No.,单元ID,单元名称,类别No.,类别名称,图像文件名,重心Y,重心X,面积,体积,最大浓淡等级,平均浓淡等级,明暗,主轴长,副轴长,主轴角,针状度,周长,圆形度,等价椭圆主轴长,等价椭圆副轴长,等价椭圆主轴·副轴比,feret直径X,feret直径Y
154,2,"瑕疵",0,"未分类(类别01-19以外)","0000000154_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
155,2,"瑕疵",0,"未分类(类别01-19以外)","0000000155_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
156,2,"瑕疵",0,"未分类(类别01-19以外)","0000000156_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
157,2,"瑕疵",0,"未分类(类别01-19以外)","0000000157_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
158,2,"瑕疵",0,"未分类(类别01-19以外)","0000000158_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
159,2,"瑕疵",0,"未分类(类别01-19以外)","0000000159_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
160,2,"瑕疵",0,"未分类(类别01-19以外)","0000000160_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
161,2,"瑕疵",0,"未分类(类别01-19以外)","0000000161_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
162,2,"瑕疵",0,"未分类(类别01-19以外)","0000000162_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
163,2,"瑕疵",0,"未分类(类别01-19以外)","0000000163_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
164,2,"瑕疵",0,"未分类(类别01-19以外)","0000000164_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
165,2,"瑕疵",0,"未分类(类别01-19以外)","0000000165_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
166,2,"瑕疵",0,"未分类(类别01-19以外)","0000000166_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
167,2,"瑕疵",0,"未分类(类别01-19以外)","0000000167_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
168,2,"瑕疵",0,"未分类(类别01-19以外)","0000000168_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
169,2,"瑕疵",0,"未分类(类别01-19以外)","0000000169_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
170,2,"瑕疵",0,"未分类(类别01-19以外)","0000000170_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
171,2,"瑕疵",0,"未分类(类别01-19以外)","0000000171_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
172,2,"瑕疵",0,"未分类(类别01-19以外)","0000000172_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
173,2,"瑕疵",0,"未分类(类别01-19以外)","0000000173_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
174,2,"瑕疵",0,"未分类(类别01-19以外)","0000000174_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
175,2,"瑕疵",0,"未分类(类别01-19以外)","0000000175_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
176,2,"瑕疵",0,"未分类(类别01-19以外)","0000000176_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
177,2,"瑕疵",0,"未分类(类别01-19以外)","0000000177_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
178,2,"瑕疵",0,"未分类(类别01-19以外)","0000000178_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
179,2,"瑕疵",0,"未分类(类别01-19以外)","0000000179_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
180,2,"瑕疵",0,"未分类(类别01-19以外)","0000000180_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
181,2,"瑕疵",0,"未分类(类别01-19以外)","0000000181_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
